property_id,ward_id,ward_name,zone,lat,lng,address,pincode,property_type,area_sqm,detection_type,confidence,ndbi_delta,area_delta,ndvi_drop,osm_status,db_match,baseline_year,comparison_year,detected_at,status,estimated_annual_tax_inr,owner_name,s3_geojson_key
GVMC-001-0001,1,Bheemunipatnam,Bheemunipatnam,17.829427,83.402522,"D.No 14, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,696,new_build,0.68,0.66,0.66,0.53,0.59,0.38,2022,2024,2024-05-15T02:00:00Z,pending,55680,"Ramesh Patnaik",mock/ward-1/GVMC-001-0001.json
GVMC-001-0002,1,Bheemunipatnam,Bheemunipatnam,17.818774,83.4323,"D.No 7, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,534,new_build,0.97,0.89,0.78,0.86,0.76,0.79,2022,2024,2024-03-28T03:00:00Z,pending,42720,"Mahesh Devi",mock/ward-1/GVMC-001-0002.json
GVMC-001-0003,1,Bheemunipatnam,Bheemunipatnam,17.826464,83.418329,"D.No 11, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,84,new_build,0.55,0.6,0.5,0.41,0.43,0.43,2022,2024,2024-01-22T04:00:00Z,verified,6720,"Srinivas Sarma",mock/ward-1/GVMC-001-0003.json
GVMC-001-0004,1,Bheemunipatnam,Bheemunipatnam,17.885124,83.41611,"D.No 24, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,517,new_build,0.67,0.61,0.66,0.54,0.45,0.5,2022,2024,2024-01-13T05:00:00Z,pending,41360,"Sunitha Chowdary",mock/ward-1/GVMC-001-0004.json
GVMC-001-0005,1,Bheemunipatnam,Bheemunipatnam,17.820495,83.430909,"D.No 40, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,602,new_build,0.82,0.75,0.67,0.73,0.51,0.59,2022,2024,2024-03-09T04:00:00Z,false_positive,48160,"Srinivas Patnaik",mock/ward-1/GVMC-001-0005.json
GVMC-001-0006,1,Bheemunipatnam,Bheemunipatnam,17.875798,83.398736,"D.No 38, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,66,change_of_use,0.76,0.78,0.69,0.63,0.61,0.42,2022,2024,2024-07-04T05:00:00Z,pending,2640,"Kavitha Prasad",mock/ward-1/GVMC-001-0006.json
GVMC-001-0007,1,Bheemunipatnam,Bheemunipatnam,17.833951,83.414792,"D.No 6-1, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,505,change_of_use,0.48,0.42,0.46,0.33,0.32,0.29,2022,2024,2024-01-27T02:00:00Z,pending,20200,"Ramesh Murthy",mock/ward-1/GVMC-001-0007.json
GVMC-001-0008,1,Bheemunipatnam,Bheemunipatnam,17.799673,83.422363,"D.No 18-9, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,616,change_of_use,0.73,0.63,0.71,0.65,0.58,0.57,2022,2024,2024-03-11T03:00:00Z,false_positive,24640,"Anitha Devi",mock/ward-1/GVMC-001-0008.json
GVMC-001-0009,1,Bheemunipatnam,Bheemunipatnam,17.856155,83.445258,"D.No 34, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,310,new_build,0.86,0.8,0.79,0.68,0.67,0.49,2022,2024,2024-05-20T01:00:00Z,pending,24800,"Srinivas Kumar",mock/ward-1/GVMC-001-0009.json
GVMC-001-0010,1,Bheemunipatnam,Bheemunipatnam,17.861593,83.448584,"D.No 43, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,438,change_of_use,0.51,0.54,0.4,0.48,0.32,0.37,2022,2024,2024-02-17T05:00:00Z,pending,17520,"Naveen Murthy",mock/ward-1/GVMC-001-0010.json
